Medicines,,exhaustion,fever,low preesure,,muscle cramps,,headache,itching,nausea,bleeding,allergic reaction,,heart problem,,imbalance syndrome,,air accumulation,,swelling,psychological problems
cephalexin,,0,0,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
vancomycin,,0,1,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
ciprofloxacin,,0,1,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
clindamycin,,0,0,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
heparin gel,,0,0,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
diphenhydramine,,0,0,0,,0,,0,1,0,0,1,,0,,0,,0,,0,0
cetirizine,,0,0,0,,0,,0,1,0,0,1,,0,,0,,0,,0,0
hydrocortisone ,,0,0,0,,0,,0,0,0,0,1,,0,,0,,0,,0,0
prednisolone,,0,0,0,,0,,0,0,0,0,1,,0,,0,,0,,0,0
epinephrine,,0,0,1,,0,,0,0,0,0,1,,0,,0,,1,,0,0
metoprolol,,0,0,0,,0,,0,0,0,0,0,,1,,0,,0,,0,0
atenolol,,0,0,0,,0,,0,0,0,0,0,,1,,0,,0,,0,0
amiodarone,,0,0,0,,0,,0,0,0,0,0,,1,,0,,0,,0,0
calcium gluconate,,0,0,0,,1,,0,0,0,0,0,,1,,0,,0,,0,0
lidocaine,,0,0,0,,0,,0,0,0,0,0,,1,,0,,0,,0,0
potassium chloride,,0,0,0,,0,,0,0,0,0,0,,1,,0,,0,,0,0
paracetamol,,0,1,0,,0,,1,0,0,1,0,,0,,0,,0,,0,0
vancomycin,,0,1,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
ceftriaxone,,0,1,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
ciprofloxacin,,0,1,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
levofloxacin,,0,1,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
ampicillin,,0,1,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
gentamicin,,0,1,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
mannitol,,0,0,0,,0,,0,0,0,0,0,,0,,1,,0,,0,0
dexamethasone,,0,0,0,,0,,0,0,1,0,0,,0,,1,,1,,0,0
diazepam,,0,0,0,,0,,0,0,0,0,0,,0,,1,,0,,0,1
phenytoin,,0,0,0,,0,,0,0,0,0,0,,0,,1,,0,,0,0
oxygen,,0,0,0,,0,,0,0,0,0,0,,0,,0,,1,,0,0
epinephrine,,0,0,1,,0,,0,0,0,0,1,,0,,0,,1,,0,0
dexamethasone,,0,0,0,,0,,0,0,1,0,0,,0,,1,,1,,0,0
lorazepam,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,1
diazepam,,0,0,0,,0,,0,0,0,0,0,,0,,1,,0,,0,1
alprazolam,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,1
sertraline,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,1
fluoxetine,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,1
paroxetine,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,1
furosemide ,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,1,0
bumetanide,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,1,0
human albumin,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,1,0
heparin  ,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,1,0
enoxaparin,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,1,0
